tweet_id,favorite_count,retweet_count,retweeted
892420643555336193,35730,7558,False
892177421306343426,30871,5598,False
891815181378084864,23219,3710,False
891689557279858688,39025,7740,False
891327558926688256,37279,8334,False
891087950875897856,18795,2797,False
890971913173991426,10922,1817,False
890729181411237888,60225,16905,False
890609185150312448,25852,3850,False
890240255349198849,29523,6577,False
890006608113172480,28432,6566,False
889880896479866881,25867,4467,False
889665388333682689,44521,8965,False
889638837579907072,25058,4011,False
889531135344209921,14056,2022,False
889278841981685760,23345,4780,False
888917238123831296,26970,4020,False
888804989199671297,23667,3792,False
888554962724278272,18266,3104,False
888078434458587136,20195,3111,False
887705289381826560,28064,4841,False
887517139158093824,42970,10568,False
887473957103951883,63671,16126,False
887343217045368832,31194,9403,False
887101392804085760,28399,5349,False
886983233522544640,32317,6858,False
886736880519319552,11085,2869,False
886680336477933568,20836,4010,False
886366144734445568,19580,2837,False
886267009285017600,111,4,False
886258384151887873,25944,5665,False
886054160059072513,0,99,False
885984800019947520,30190,6028,False
885528943205470208,33309,5729,False
885518971528720385,18965,3352,False
885311592912609280,0,16584,False
885167619883638784,20278,3913,False
884925521741709313,71359,16175,False
884876753390489601,25776,5000,False
884562892145688576,22533,4215,False
884441805382717440,25111,5108,False
884247878851493888,67192,18214,False
884162670584377345,18920,2681,False
883838122936631299,20247,3074,False
883482846933004288,42436,8854,False
883360690899218434,21012,3317,False
883117836046086144,34364,5968,False
882992080364220416,22136,3485,False
882762694511734784,26177,4384,False
882627270321602560,25951,5449,False
882268110199369728,41513,10388,False
882045870035918850,27181,4371,False
881906580714921986,22559,3050,False
881666595344535552,46957,9571,False
881633300179243008,115,7,False
881536004380872706,45837,14364,False
881268444196462592,21565,4744,False
880935762899988482,15856,2507,False
880872448815771648,19740,3437,False
880465832366813184,26385,5569,False
880221127280381952,25004,3736,False
880095782870896641,25614,3900,False
879862464715927552,20754,3125,False
879674319642796034,293,10,False
879492040517615616,21779,2863,False
879415818425184262,98109,40004,False
879376492567855104,15611,2815,False
879130579576475649,0,6116,False
879050749262655488,20918,4227,False
879008229531029506,17650,2406,False
878776093423087618,17971,3678,False
878604707211726852,27945,6361,False
878404777348136964,0,1152,False
878316110768087041,0,5971,False
878281511006478336,7175,1152,False
878057613040115712,39073,6116,False
877736472329191424,73527,17030,False
877611172832227328,0,72,False
877556246731214848,21075,3421,False
877316821321428993,25469,4678,False
877201837425926144,25180,5012,False
876838120628539392,19233,3005,False
876537666061221889,22029,4225,False
876484053909872640,17458,2130,False
876120275196170240,26017,4200,False
875747767867523072,23368,3849,False
875144289856114688,20410,4423,False
875097192612077568,25526,5482,False
875021211251597312,23722,4254,False
874680097055178752,25889,4179,False
874434818259525634,0,13104,False
874296783580663808,24248,3717,False
874057562936811520,21166,3596,False
874012996292530176,31876,9235,False
873580283840344065,22566,3561,False
873337748698140672,0,1431,False
873213775632977920,6674,1431,False
872967104147763200,25400,4899,False
872820683541237760,13742,3366,False
872620804844003328,19338,3300,False
872486979161796608,38043,8201,False
872122724285648897,31972,7338,False
871879754684805121,35058,9932,False
871762521631449091,18877,3165,False
871515927908634625,18853,3153,False
871166179821445120,0,5193,False
871102520638267392,19559,5006,False
871032628920680449,21268,3469,False
870804317367881728,31486,5636,False
870726314365509632,114,3,False
870656317836468226,11535,2389,False
870374049280663552,77759,24197,False
870308999962521604,20520,3778,False
870063196459192321,34198,7569,False
869772420881756160,39935,9260,False
869702957897576449,26450,5753,False
869596645499047938,14967,2850,False
869227993411051520,19156,3444,False
868880397819494401,61330,13175,False
868639477480148993,0,1893,False
868622495443632128,25025,4842,False
868552278524837888,9460,1893,False
867900495410671616,22772,3832,False
867774946302451713,31924,6726,False
867421006826221569,15128,2285,False
867072653475098625,0,110,False
867051520902168576,30305,7247,False
866720684873056260,18834,4404,False
866686824827068416,18118,3197,False
866450705531457537,115084,32414,False
866334964761202691,49274,13104,False
866094527597207552,0,7711,False
865718153858494464,24203,5185,False
865359393868664832,24935,4615,False
865006731092295680,26451,7111,False
864873206498414592,30445,8013,False
864279568663928832,13766,2782,False
864197398364647424,28273,8168,False
863907417377173506,19457,3827,False
863553081350529029,14423,3874,False
863471782782697472,0,2246,False
863432100342583297,22476,4850,False
863427515083354112,2079,89,False
863079547188785154,8301,1028,False
863062471531167744,7982,2246,False
862831371563274240,18156,4776,False
862722525377298433,16197,3283,False
862457590147678208,19317,4566,False
862096992088072192,70225,21479,False
861383897657036800,34168,9946,False
861288531465048066,16264,3836,False
861005113778896900,15812,3550,False
860981674716409858,0,1993,False
860924035999428608,0,741,False
860563773140209665,7111,1993,False
860524505164394496,22448,4943,False
860276583193509888,17453,3274,False
860184849394610176,15823,5450,False
860177593139703809,0,28837,False
859924526012018688,18630,3837,False
859851578198683649,14690,3284,False
859607811541651456,17739,1457,False
859196978902773760,85451,28179,False
859074603037188101,32171,12752,False
858860390427611136,0,7597,False
858843525470990336,14866,3254,False
858471635011153920,20520,4553,False
858107933456039936,15036,2715,False
857989990357356544,15346,2434,False
857746408056729600,32701,9993,False
857393404942143489,5621,1547,False
857263160327368704,19176,4256,False
857214891891077121,214,17,False
857062103051644929,0,158,False
857029823797047296,18027,3745,False
856543823941562368,15652,2717,False
856526610513747968,11376,1776,False
856330835276025856,0,632,False
856288084350160898,493,15,False
856282028240666624,26597,5946,False
855862651834028034,323,24,False
855860136149123072,4704,928,False
855857698524602368,11394,1991,False
855851453814013952,43981,17123,False
855818117272018944,25613,5143,False
855459453768019968,28623,7801,False
855245323840757760,0,5649,False
855138241867124737,0,43,False
854732716440526848,21880,5760,False
854482394044301312,28146,6500,False
854365224396361728,18193,4466,False
854120357044912130,30846,7106,False
854010172552949760,15681,3004,False
853760880890318849,27585,5477,False
853639147608842240,33463,9555,False
853299958564483072,14966,3398,False
852936405516943360,0,1897,False
852912242202992640,8722,1732,False
852672615818899456,14435,2066,False
852553447878664193,15781,3325,False
852311364735569921,32101,9525,False
852226086759018497,19388,6566,False
